sisulname,sisuladdr,tel
강동 행복의 집,서울특별시 강동구 양재대로135길,02-488-5503
도봉단기보호시설,서울특별시 도봉구 마들로 ,02-3493-3091
그린도봉주간보호센터,서울특별시 도봉구 도봉로 ,02-956-5300
베데스다의집 함께하네,서울특별시 도봉구 도봉로147길 ,0233912123
해피죤아동발달지원센터,서울특별시 강동구 상암로,024263869
소망그룹홈4,서울특별시 강남구 언주로159길 ,070-4493-3045
소망그룹홈3,서울특별시 강남구 언주로159길 ,070-4493-3044
소망그룹홈2,서울특별시 강남구 언주로157길,070-4493-3043
루치아 공동생활가정,서울특별시 마포구 마포대로4라길 ,07086253788
맑은샘장애인단기거주시설,서울특별시 양천구 신월로 ,050-2111-9800
여호와닛시의집,서울특별시 강서구 방화동로5길 ,02-2665-0326
서울곰두리체육센터,서울특별시 송파구 오금동 ,02-404-6240
온수그룹홈,서울특별시 구로구 부일로 ,02-2668-6334
버들그룹홈,서울특별시 구로구 부일로,02-2694-6334
느티나무그룹홈,서울특별시 구로구 부일로 ,02-2668-6335
H2빌,서울특별시 강서구 개화동,0269252366
서울시각장애인생활이동지원센터,서울특별시 동작구 상도로 ,02-2092-0008
공감보호작업장,서울특별시 성동구 아차산로 ,02-3409-8270
행복플러스 보호작업장,서울특별시 성북구 화랑로,02-6959-8100
행복플러스 단기보호시설,서울특별시 성북구 화랑로,0269598100
비움,서울특별시 송파구 삼전로3길 ,02-2043-8460
장애인 내일키움 직업교육센터,서울특별시 서대문구 연희로33가길,023230080
라피드보호작업장,서울특별시 영등포구 영신로40길 ,02-6925-0728
하늘아래주간보호시설,서울특별시 구로구 경인로23길,032-348-0112
하늘마음,서울특별시 중구 신당동 ,0222358707
오뚜기하우스,서울특별시 구로구 부일로 ,02-932-4292
교남발달지원센터,서울특별시 강서구 까치산로22길 ,02-2697-3880
동천하우스7,서울특별시 도봉구 시루봉로17길,070-8839-3999
동천하우스8,서울특별시 도봉구 시루봉로17길,070-8839-3999
소망드림복지센터,서울특별시 강동구 양재대로116길 ,024262577
서울영동주간보호센터,서울특별시 강남구 논현로132길 ,070-4364-5304
꿈터2장애인주간보호센터,서울특별시 관악구 쑥고개로13길 ,02-878-9498
예수와주간보호센터,서울특별시 강남구 압구정로22길,02-2056-5688
행복을파는장사꾼,서울특별시 강서구 까치산로,0220651591
성모자애단기거주시설미리암의집,서울특별시 강남구 헌릉로757길 ,02-3410-8892
희망하우스,서울특별시 광진구 능동로34길 ,02-452-5599
참사랑 너나울 주간보호센터 2호,서울특별시 강북구 한천로143길,070-4338-2530
(주)의학신문사 부설 아이맘인지발달연구소,서울특별시 광진구 동일로 ,0234085874
예수성심우리엄마네,서울특별시 강북구 삼양로123길,02-995-8070
다니엘의 집 5호,서울특별시 서초구 동산로12길 ,07046714892
논현제3공동생활가정,서울특별시 강남구 학동로18길 ,02-542-0380
최종병기공동생활가정,서울특별시 서대문구 연희로41가길 ,070-8992-9043
위투게더,서울특별시 송파구 성내천로 ,024000260
꿈드래장애인일자리센터,서울특별시 동대문구 장한로28가길 ,029287114
푸르메재단 넥슨어린이재활병원,서울특별시 마포구 월드컵북로,02-6070-9017
마포푸르메스포츠센터,서울특별시 마포구 월드컵북로,02-6070-9270
마포푸르메직업재활센터,서울특별시 마포구 월드컵북로,0260709290
래그랜느보호작업장,서울특별시 강남구 양재대로55길 ,02-445-0919
휴샘아동가족발달센터,서울특별시 강서구 마곡중앙5로 ,0226611366
구립동대문장애인종합복지관,서울특별시 동대문구 용두동,070-4522-4710
소망그룹홈1,서울특별시 강남구 언주로157길 ,070-4493-3042
sim발달지원센터,서울특별시 광진구 구의동 ,024531275
내일을꿈꾸는사람들3호,서울특별시 노원구 상계동 ,02-6403-0516
하이드림,서울특별시 구로구 고척로21다길 ,02-2695-9998
행복단기보호시설,서울특별시 송파구 성내천로,02-448-9800
행복 보호작업장,서울특별시 송파구 성내천로,024489700
SG블루웰,서울특별시 금천구 두산로 ,0269128080
소울터보호작업장,서울특별시 금천구 범안로,02-838-4567
교남공동생활가정2호,서울특별시 강서구 초록마을로19길,0226023384
하사랑주간보호,서울특별시 송파구 올림픽로35길,02-421-2016
한우리보호작업장,서울특별시 서초구 남부순환로340길,02-2055-0909
늘품 장애인 보호작업장,서울특별시 서대문구 홍은중앙로,02-379-1127
행복한사랑,서울특별시 송파구 오금로 ,024005090
강남세움단기보호센터,서울특별시 강남구 광평로60길,02 2184-8799
관악구장애인종합복지관,서울특별시 관악구 남부순환로,02-877-0750
효정1호,효정2호 공동생활가정,서울특별시 강북구 삼양로69길,02-988-1465
동그라미 움직임 발달센터,서울특별시 광진구 자양로 ,024550942
성동재활의원,서울특별시 성동구 뚝섬로1길 ,0222049976
다니엘치료센터,서울특별시 서초구 헌릉로468길 ,07077529594
도봉장애인종합복지관,서울특별시 도봉구 마들로,0269521777
행복이가득한집 2호,서울특별시 강서구 월정로18길,0222369081
참행복한세상,서울특별시 강서구 양천로,02-2658-0700
베데스다직업적응훈련시설,서울특별시 노원구 공릉로58마길,02-3391-2125
참사랑공동생활가정,서울특별시 강북구 한천로144길 ,02-906-0688
하계장애인주간활동센터,서울특별시 노원구 노원로16길 ,0269287350
송파구장애인직업재활지원센터,서울특별시 송파구 양산로 ,024006510
구립중림장애인주간보호센터,서울특별시 중구 서소문로6길,02-363-8765
사랑단기보호센터,서울특별시 동작구 남부순환로255길 ,025367705
더원직업훈련센터,서울특별시 동대문구 장한로,0263681515
행복주간보호센터,서울특별시 송파구 마천로 ,024308003
해피하우스,서울특별시 송파구 오금로,024496652
동안우리주간보호센터,서울특별시 강동구 풍성로,0234014163
헬렌켈러의집 2호,서울특별시 강북구 삼양로91가길 ,029801791
라파아동발달센터,서울특별시 강동구 길동 ,07041035850
아이사랑아동청소년발달센터,서울특별시 강동구 아리수로93길 ,024815394
홀트강동복지관,서울특별시 강동구 아리수로93길,0222516100
직업재능개발센터,서울특별시 강동구 올림픽로,0269339940
성민드림주간보호센터,서울특별시 서초구 효령로26길,0234874879
한결엠,서울특별시 금천구 가산디지털1로 ,0269520551
우리그룹홈,서울특별시 송파구 거마로3길,02-409-5040
블루나래,서울특별시 구로구 디지털로,02-867-9542
영광시각장애인주간보호센터,서울특별시 서대문구 세무서10길 ,023950900
두손장애인보호작업장,서울특별시 송파구 동남로6길,07087299567
모두누리 직업재활센터,서울특별시 구로구 디지털로27길 ,02-868-8295
기쁨나무,서울특별시 금천구 시흥대로80길,028939630
홀트주간보호센터,서울특별시 강동구 아리수로93길,0222516100
주은공동생활가정,서울특별시 강서구 강서로5라길,02-2690-5746
은하수,서울특별시 구로구 고척로52마길 ,0226165398
관악밀알주간보호센터,서울특별시 관악구 신림로58길,02-888-4815
유-파트너 보호작업장,서울특별시 중구 을지로,0218330264
행복한 사람들의 집,서울특별시 강북구 삼양로173가길 ,029909110
이음주간교육센터,서울특별시 강북구 한천로129길 ,02-990-1991
중곡동 작은예수의집,서울특별시 광진구 긴고랑로23길,024570985
강남세움보호작업장,서울특별시 강남구 광평로60길,0221848702
킨더윌언어심리전문센터,서울특별시 노원구 상계로23다길 ,029393421
두빛나래보호작업장,서울특별시 성동구 성수일로 ,02-6238-8822
꿈친장애인주간보호센터,서울특별시 영등포구 은행로 ,0261817536
강남세움복지관,서울특별시 강남구 광평로60길,02-3411-4664
해피드림,서울특별시 양천구 월정로,02-26951222
선한이웃 재활운동발달센터,서울특별시 노원구 공릉로58길 ,029790233
양천희망돌봄센터,서울특별시 양천구 가로공원로,0221351970
주사랑 장애인단기보호센터,서울특별시 금천구 독산로,07051537363
강남세움근로사업장 굿윌스토어,서울특별시 강남구 광평로60길,02-2184-8701
강남세움 직업훈련센터,서울특별시 강남구 광평로60길,02-2184-8703
담쟁이그룹홈,서울특별시 노원구 노원로1길,07088088682
사랑손직업적응훈련시설,서울특별시 동작구 사당로,0234772602
기쁨이꽃피는나무,서울특별시 금천구 시흥대로80길 ,028939630
두리하나다울,서울특별시 구로구 경인로53길,0226811399
동광모자원,서울특별시 노원구 덕릉로 ,02-930-5782
성심모자원,서울특별시 용산구 새창로12길 ,02-712-5287
영락모자원,서울특별시 성북구 정릉동 ,02-941-1970
창신 모자원,서울특별시 구로구 오류로8나길,02-2612-7142
평화 모자원,서울특별시 구로구 안양천로539길 ,02-2614-4303
해오름빌,서울특별시 용산구 신흥로26길 ,02-754-5702
서울 모자의집,서울특별시 구로구 오리로17길 ,02-2612-6736
구세군두리홈,서울특별시 서대문구 독립문로8길 ,023635722
애란원,서울특별시 서대문구 연대동문길 ,02-393-4723
애란모자의집,서울특별시 서대문구 홍제내4길,02-391-4725
마음자리,서울특별시 강서구 화곡동,02-2691-4365
달빛둥지,서울특별시 성북구 오패산로17길 ,02-912-1616
애란세움터,서울특별시 강서구 강서로47길,02-703-4406
아름뜰,서울특별시 마포구 양화로8길 ,02-334-4614
한국한부모가족복지상담소,서울특별시 중구 서소문로 ,3634750
마포클로버,서울특별시 마포구 동교로,02-322-3325
구세군디딤돌,서울특별시 종로구 평창12길 ,070-7547-8895
생명누리의집,서울특별시 은평구 서오릉로25가길,02-326-5891
구세군 한아름,서울특별시 강서구 까치산로8길,02-2691-8445
꿈나무,서울특별시 동작구 양녕로,07089550804
두리마을,서울특별시 서대문구 천연동 ,02-393-4471
선재누리,서울특별시 성동구 무학로4길 ,0269596858
마포애란원,서울특별시 마포구 새창로4나길 ,027114725
애란영스빌,서울특별시 마포구 희우정로20길,02-333-4725
열린집,서울특별시 금천구 금하로 ,02-563-7421
도담하우스,서울특별시 송파구 성내천로23가길 ,02-449-8893
이주배경 한부모가족 상담소,서울특별시 양천구 월정로48길 ,027927937
Vine Center,서울특별시 영등포구 양평로12가길,02-2671-0693
한부모가족복지상담소 KUMSN,서울특별시 마포구 성산로2길 ,02-734-5007
한남하우스,서울특별시 강서구 방화대로6가길,0226618805
길가온혜명,서울특별시 구로구 오리로22나길,02-891-5732
수선화의집,서울특별시 양천구 목동중앙남로16나길 ,02-2644-0713
24시간게스트하우스,서울특별시 성동구 가람길 ,02-2215-9251
그리스도의공동체 겨자씨들의둥지,서울특별시 강북구 수유로21길,02-999-3932
마더테레사의집,서울특별시 성북구 삼선교로2길 ,02-742-1797
서울특별시립 다시서기종합지원센터,서울특별시 용산구 한강대로92길,027775217
흰돌회,서울특별시 은평구 가좌로7가길,02-372-5905
임마누엘의집,서울특별시 성북구 보국문로 ,02-909-2912
열린여성센터,서울특별시 서대문구 홍제내2길 ,02-704-5395
서울특별시립 비전트레이닝센터,서울특별시 성동구 자동차시장길 ,02-2243-9183
시립은평의마을,서울특별시 은평구 갈현로15길 ,02-3156-6300
가나안 쉼터,서울특별시 동대문구 왕산로 ,02-964-1558
서울특별시립여성보호센터,서울특별시 강남구 광평로34길 ,02-3412-4502
서울특별시립 브릿지종합지원센터,서울특별시 서대문구 서소문로 ,02-363-9199
구세군서대문사랑방,서울특별시 서대문구 경기대로 ,02-312-7225
옹달샘드롭인센터,서울특별시 영등포구 경인로94길 ,02-2068-9113
대한성공회살림터,서울특별시 관악구 국회단지길 ,02-875-3474
우리집공동체,서울특별시 성북구 보국문로29바길 ,02)918-3569
아침을여는집,서울특별시 성북구 보국문로10길 ,02-924-1010
화엄동산,서울특별시 중구 동호로17길 ,02-2642-1363
광야홈리스센터,서울특별시 영등포구 경인로100길,02-2068-4353
십자가쉼터,서울특별시 성북구 정릉로6가길 ,02-929-1173
만나샘,서울특별시 용산구 후암로57길 ,02-757-7595
햇살보금자리,서울특별시 영등포구 국회대로54길 ,02-2636-8182
애원 희망 홈,서울특별시 중랑구 봉화산로 ,02-3421-2707
강동희망의 집,서울특별시 강동구 진황도로23길 ,02-2041-7800
청담광명의집,서울특별시 금천구 금하로29길,02-803-1377
소중한사람들,서울특별시 중구 중림로8길,02-365-9106
구세군 자활주거복지센터,서울특별시 중랑구 봉우재로58길 ,02-313-1991
천애원 희망의집,서울특별시 은평구 녹번로 ,02-952-4564
다일작은천국,서울특별시 동대문구 서울시립대로,02-2213-8004
구세군가재울쉼터,서울특별시 서대문구 명지대1다길,02-309-3009
목동의집,서울특별시 양천구 목동중앙본로31길 ,0226427665
내일의집,서울특별시 양천구 남부순환로60길 ,024976333
디딤센터,서울특별시 서대문구 연희로6길,023325515
수송보현의집,서울특별시 은평구 갈현로31길,027374894
희망나무,서울특별시 은평구 통일로92길,028463070
아가페의집,서울특별시 성북구 장위로17길,029429193
서울특별시립 서울역쪽방상담소,서울특별시 용산구 후암로57길,02-771-6591
서울특별시립 남대문쪽방상담소,서울특별시 용산구 한강대로,02-778-1290
서울특별시립 창신동쪽방상담소,서울특별시 종로구 종로50라길 ,0236721264
서울특별시립 돈의동 쪽방상담소,서울특별시 종로구 돈화문로9가길,02-747-9074
서울특별시립영등포쪽방상담소,서울특별시 영등포구 경인로,02-2068-4353
살맛나는공동체,서울특별시 용산구 한강대로 ,027070944
서울시립영등포보현종합지원센터,서울특별시 영등포구 버드나루로 ,02-2069-1600
서울특별시립 남대문쪽방상담소,서울특별시 중구 세종대로,02-778-1290
(사)참좋은친구들,서울특별시 중구 청파로 ,027540031
한마음의집,서울특별시 서대문구 연희로39다길 ,02-391-2504
여울목,서울특별시 강서구 화곡로13길 ,02-2605-2176
관악좋은집,서울특별시 관악구 법원단지32길 ,02-858-1019
꿈꾸는집,서울특별시 관악구 당곡6길 ,02-877-9974
새로돋는집,서울특별시 관악구 대학18길,02-877-9964
아름드리(여성주거시설),서울특별시 양천구 남부순환로59길 ,02-2675-7725
대길푸른초장,서울특별시 영등포구 영등포로84길 ,02-831-9910
한마음세상,서울특별시 강서구 초록마을로32길,02-2699-7324
열린세상,서울특별시 양천구 남부순환로,02-2693-7328
강서그룹홈,서울특별시 강서구 초록마을로16길 ,02-2699-7328
서초열린세상,서울특별시 서초구 신반포로33길,02-3477-9817
파란마음,서울특별시 은평구 갈현로33길,02-6407-4515
서대문해벗누리,서울특별시 서대문구 모래내로 ,02-375-5042
내동화세상,서울특별시 도봉구 도봉산3길,02-954-2727
하얀마음,서울특별시 송파구 석촌호수로20길,02-425-1274
가득한집,서울특별시 금천구 시흥동,02-806-8524
강서양지,서울특별시 강서구 등촌로35가길,02-2696-3450
목동하늘샘(남성주거시설),서울특별시 양천구 목동중앙남로9길 ,02-652-9010
태화샘솟는집,서울특별시 마포구 마포대로 ,02-392-1155
새롬마을,서울특별시 노원구 동일로237다길 ,02-934-5060
드림하우스,서울특별시 중랑구 망우로74가길 ,02-909-4620
한빛하우스,서울특별시 서대문구 연희로39다길,02-379-8205
가람슬기,서울특별시 광진구 천호대로116길 ,02-444-9145
중랑한울지역정신건강센터,서울특별시 중랑구 용마산로115길 ,02-2207-9964
에버그린하우스,서울특별시 은평구 갈현로29길,02-352-0079
예스홈,서울특별시 도봉구 우이천로38나길,02-908-0884
디딤돌정신재활시설,서울특별시 도봉구 도당로27길,02-954-2279
한울지역정신건강센터,서울특별시 관악구 장군봉길,02-877-9964
대길엘림,서울특별시 금천구 시흥대로54길 ,02-802-9910
성모 다움,서울특별시 성동구 청계천로,02-2290-3159
소망나무,서울특별시 광진구 능동로50길 ,02-6403-7776
로뎀나무,서울특별시 서대문구 증가로24마길 ,02-376-3415
태화해뜨는샘,서울특별시 강남구 광평로 ,02-2040-1780
카프여성거주시설,서울특별시 마포구 성미산로5길,02-325-4107
다정이네,서울특별시 종로구 세검정로7가길 ,02-395-5397
평화정신재활시설,서울특별시 노원구 노원로 ,070-4010-1126
다함정신건강상담센터,서울특별시 성북구 보문로34길 ,02-926-2172
카프치료공동체감나무집,서울특별시 마포구 연남로1길,02-3143-6692
동그라미,서울특별시 광진구 능동로43길 ,02-461-8696
가온길,서울특별시 노원구 공릉로58나길 ,02-6403-7790
광진오사랑의집,서울특별시 광진구 긴고랑로36길 ,02-499-6162
카프치료공동체 둥지,서울특별시 은평구 연서로37가길 ,02-356-5414
예체르하우스,서울특별시 강서구 방화대로6바길 ,02-395-5980
스롤라인,서울특별시 용산구 백범로90길 ,02-701-5325
서울특별시립은혜로운집,서울특별시 은평구 갈현로15길 ,02-3156-6400
새벗클럽하우스,서울특별시 강서구 강서로52길,02-3662-9004
용산새빛,서울특별시 용산구 원효로35길,02-719-3369
하늘소(개인시설),서울특별시 양천구 화곡로8길 ,070-7517-0281
양천아이존,서울특별시 양천구 화곡로 ,02-2065-2513
새오름터,서울특별시 은평구 연서로22길 ,02-3157-0884
송파아이존,서울특별시 송파구 충민로6길 ,02-2144-1140
누리봄,서울특별시 광진구 용마산로25길 ,02-465-7065
동작아이존,서울특별시 동작구 국사봉길 ,02-817-5443
우리집,서울특별시 광진구 긴고랑로36길 ,02-456-2527
아름다운세상,서울특별시 구로구 고척로52라길 ,070-8812-7754
다솜,서울특별시 구로구 고척로10길 ,070-8262-1330
수린목,서울특별시 구로구 고척로3길,070-7740-2369
길벗둥지,서울특별시 동대문구 서울시립대로18길,070-8180-7224
좋은사람들,서울특별시 영등포구 도림로 ,02-845-8880
늘푸른집,서울특별시 도봉구 시루봉로,02-3491-6620
이음,서울특별시 강동구 천호옛12길 ,02-475-1403
행복정신건강센터,서울특별시 강동구 진황도로 ,02-426-0981
마음자리,서울특별시 양천구 목동중앙남로16다길,070-4082-0454
디딤돌,서울특별시 도봉구 시루봉로 ,02-954-2279
행복한 하루,서울특별시 도봉구 시루봉로15라길,02-3492-3159
청소년사회복귀시설 비상,서울특별시 관악구 남부순환로,070-4200-4401
소망홈,서울특별시 광진구 천호대로113길,02-3425-2033
밝은길,서울특별시 중랑구 동일로130길 ,070-8286-9554
서울 우리집,서울특별시 강동구 상일로25길 ,02-481-1272
해사랑,서울특별시 은평구 연서로41길 ,02-2695-7328
해오름,서울특별시 마포구 망원로11길,023235765
마인드,서울특별시 동대문구 전농로38길,02-3394-5144
푸른존,서울특별시 강북구 도봉로66길 ,02-944-5813
중랑아이존,서울특별시 중랑구 동일로,0222133386
맑은샘,서울특별시 강동구 구천면로28길,0260127963
중구 아이존,서울특별시 중구 중림동,02-2038-7650
종로아이존,서울특별시 종로구 신교동 ,0263957045
서울 다르크,서울특별시 양천구 목동중앙본로7가길 ,07073632878
리커버리 하우스,서울특별시 관악구 신림로30길 ,028779984
구로구공동희망학교,서울특별시 구로구 구로중앙로18길 ,0267393500
소담,서울특별시 강북구 한천로166길 ,02-997-0444
공감플러스,서울특별시 강서구 화곡로61길,0236632035
노원희망공간이룸,서울특별시 노원구 상계동 ,029394200
해맑은뜰,서울특별시 은평구 갈현로47길,02-389-8324
까리따스 알코올 회복 센터,서울특별시 서초구 남부순환로 ,02-521-2577
위드유 정신재활시설,서울특별시 동대문구 한천로,0222431992
어깨동무,서울특별시 중랑구 동일로92길,0264079974
서초아이존,서울특별시 서초구 방배로 ,025352940
서대문 아이존,서울특별시 서대문구 연희로,02-332-8033
한그루,서울특별시 구로구 경인로35길 ,02-6213-0314
두드림마음건강센터,서울특별시 양천구 등촌로 ,02-2645-1941
멋진월요일,서울특별시 성동구 성덕정길,07086339051
돌봄사랑채1,서울특별시 광진구 아차산로26길 ,02-3409-9444
유쾌한집4호,서울특별시 도봉구 도봉산3길 ,064-8670-7029
유쾌한집3호,서울특별시 도봉구 도봉산3길 ,07086707028
유쾌한집2호,서울특별시 도봉구 도봉산3길,070-8670-7027
유쾌한집1호,서울특별시 도봉구 도봉산3길,07086707026
종로행복일굼터,서울특별시 종로구 종로43길 ,027449707
도담,서울특별시 동대문구 사가정로,0233945079
돌봄사랑채 3,서울특별시 광진구 아차산로26길 ,0234099444
돌봄사랑채 2,서울특별시 광진구 아차산로26길 ,0234099444
샹가,서울특별시 서대문구 증가로10길,0226528771
어울림,서울특별시 중랑구 용마산로,02-432-9974
꿈꾸는달팽이,서울특별시 구로구 디지털로26길 ,028559135
해비치,서울특별시 서대문구 증가로24마길,0231523013
송파어우러기,서울특별시 송파구 백제고분로,024882228
한국마약퇴치운동본부 중독재활센터,서울특별시 영등포구 당산로,0226772245
그라따,서울특별시 도봉구 도봉로181가길 ,070-811-6602
영등포아이존,서울특별시 영등포구 영등포로84길,02-831-9909
나눔터,서울특별시 성북구 한천로76다길 ,029597184
한울림,서울특별시 성북구 보국문로6길,029421037
중앙가정위탁지원센터,서울특별시 마포구 백범로 119-0,02-796-1406
서울가정위탁지원센터,서울특별시 양천구 화곡로 47-0,02-325-9080
해피데이공동생활가정,서울특별시 도봉구 해등로 ,02-999-3571
노인요양시설 실버스토리,서울특별시 서대문구 모래내로 ,02-337-8678
삼농실버마을,서울특별시 구로구 오류로8길 ,02-2617-9980
삼농데이케어센터,서울특별시 구로구 오류로8길 ,02-2617-9980
당고개재가노인복지시설,서울특별시 노원구 덕릉로126길 ,0233925542
까리따스데이케어센터,서울특별시 서초구 남부순환로 ,025238303
(사)우이데이케어센터,서울특별시 강북구 삼양로,02-998-6000
태릉데이케어센터,서울특별시 노원구 동일로176길 ,02-977-9171
유린원광방문요양센터,서울특별시 중랑구 신내로,02-433-5673
광진노인보호센터,서울특별시 광진구 뚝섬로58길 ,024580350
중랑재가노인복지센터,서울특별시 중랑구 용마공원로 ,02-2207-0515
전인복지센터,서울특별시 양천구 목동남로 ,027047193
참빛요양원,서울특별시 도봉구 도봉로,070-8671-2095
사랑과섬김요양원,서울특별시 중랑구 묵동 ,02-974-7004
사랑과섬김요양원단기보호,서울특별시 중랑구 묵동 ,02-974-7004
삼동재가방문요양센터,서울특별시 강북구 한천로105길 ,02-987-1064
여민데이케어센터,서울특별시 서대문구 증가로4길,02-395-3662
보라매요양원2호점,서울특별시 동작구 보라매로 ,028110055
보라매요양원1호점,서울특별시 동작구 보라매로 ,02-811-0055
사랑초요양원,서울특별시 양천구 지양로 ,0226051190
성북희망데이케어센터,서울특별시 성북구 동소문로 ,029229955
사랑재 요양원,서울특별시 광진구 자양로,024463356
구립한남노인요양원,서울특별시 용산구 독서당로 ,02-790-8999
구립한남데이케어센터,서울특별시 용산구 독서당로,02-790-8884
구립용마경로복지센터,서울특별시 중랑구 용마산로94길 ,024350842
효심(가)요양원,서울특별시 중랑구 망우로,07045437366
효심(나)요양원,서울특별시 중랑구 망우로,07045437366
부모사랑데이케어센터,서울특별시 노원구 월계로 ,029090213
금빛데이케어센터,서울특별시 금천구 탑골로2길 ,028919055
두레주야간보호센터,서울특별시 중랑구 신내동,02-2207-7500
국민건강보험공단 서울요양원,서울특별시 강남구 헌릉로590길,0221601000
대한실버하우스,서울특별시 금천구 독산로78길 ,028558191
은혜실버 노인요양공동생활가정,서울특별시 서대문구 응암로1길 ,023042429
국민건강보험공단 서울요양원 재가복지센터,서울특별시 강남구 헌릉로590길,02-2160-1000
훼밀리데이케어센터,서울특별시 송파구 문정동 ,024009506
사랑채요양종합복지센터,서울특별시 도봉구 도봉로133길 ,029746290
도봉요양원,서울특별시 도봉구 도봉로 ,02-9009898
유민복지센터,서울특별시 성북구 장위로26길 ,027633962
인왕어르신복지센터,서울특별시 서대문구 통일로26길,02-733-9226
노원편안한요양원2,서울특별시 노원구 상계로27길 ,029328088
노원편안한요양원1,서울특별시 노원구 상계로27길 ,029328088
사회적협동조합 가가호호돌봄센터,서울특별시 영등포구 영등포로64길 ,028368427
(사)굿하트데이케어센터,서울특별시 동작구 상도동 ,02-793-5573
가온요양원2,서울특별시 강북구 한천로 ,02-907-1117
가온요양원1주야간,서울특별시 강북구 한천로 ,02-6959-8078
가온요양원1,서울특별시 강북구 한천로,02-6959-8078
용강 노인복지관,서울특별시 마포구 토정로31길,02-707-1006
성산노인복지센터,서울특별시 마포구 월드컵북로12안길 ,02-325-5501
구립효창데이케어센터,서울특별시 용산구 효창원로 ,027117795
구립신내노인종합복지관 병설 신내데이케어센터,서울특별시 중랑구 신내로15길 ,02)3421-7800
강남유명요양원,서울특별시 강남구 개포로140길 ,024453770
시립중랑노인전문요양원 병설 데이케어센터,서울특별시 중랑구 양원역로 ,024378144
시립중랑노인전문요양원,서울특별시 중랑구 양원역로 ,024370144
인애요양원,서울특별시 관악구 신림로 ,02-883-9430
서울종합데이케어센터,서울특별시 마포구 숭문길,02-701-9967
강서희망데이케어센터,서울특별시 강서구 강서로45길 ,022667-8890
가족사랑요양원,서울특별시 송파구 오금로36길 ,07048140450
가락사랑요양원,서울특별시 송파구 오금로36길 ,024030311
늘푸른돌봄센터,서울특별시 광진구 긴고랑로 ,024618373
삼선데이케어센터,서울특별시 성북구 동소문로 ,0264377272
혜화동성당데이케어센터,서울특별시 종로구 혜화로12길 ,027420515
그레이스 실버데이케어센터,서울특별시 구로구 서해안로 ,0236660366
관악시니어클럽,서울특별시 관악구 남부순환로247다길 ,028749295
화곡본동성당데이케어센터,서울특별시 강서구 까치산로2길 ,02-2606-4123
신림성모성당데이케어센터,서울특별시 관악구 봉천로18길 ,028773327
금호동성당데이케어센터,서울특별시 성동구 무수막18길,02-2236-9671
구파발성당데이케어센터,서울특별시 은평구 진관2로 ,02-354-1380
사랑나눔데이케어센터,서울특별시 강북구 도봉로 ,029991366
사랑나눔요양원2,서울특별시 강북구 도봉로 ,029991366
사랑재활요양원,서울특별시 도봉구 덕릉로59아길 ,029003882
시흥4동성당데이케어센터,서울특별시 금천구 독산로38길 ,028919004
고척동성당데이케어센터,서울특별시 구로구 고척로52나길,02-2060-9914
왕십리성당데이케어센터,서울특별시 성동구 무학로10길 ,0222823874
행운동성당데이케어센터,서울특별시 관악구 행운4길 ,02-875-7781
천호동성당데이케어센터,서울특별시 강동구 구천면로 ,024719973
갈현동성당데이케어센터,서울특별시 은평구 통일로83길 ,023588570
신당동성당데이케어센터,서울특별시 중구 동호로20다길 ,0222361781
구립영등포치매전문데이케어센터,서울특별시 영등포구 당산로29길 ,028130100
은평요양원,서울특별시 은평구 진흥로 ,02-388-0709
love사랑맞이요양원,서울특별시 도봉구 마들로 ,029553322
서울숲 단기보호센터,서울특별시 성동구 뚝섬로 ,02-6204-7227
A+도봉재활요양원,서울특별시 도봉구 도봉로152길 ,02-3494-6101
엘림데이케어센터,서울특별시 금천구 범안로 ,02-2668-3701
(사)굿하트광진재가노인지원센터,서울특별시 광진구 긴고랑로 ,02-6401-7090
'(협)효마을 중랑 노인요양공동생활가정,서울특별시 중랑구 용마공원로3길 ,07076038100
'(협)효마을중랑복지촌 2호,서울특별시 중랑구 용마공원로3길 ,07076038100
목동조은요양원,서울특별시 양천구 중앙로 ,0226010492
휴림실버요양센터,서울특별시 구로구 디지털로27길,028550066
엔젤복지센터,서울특별시 관악구 봉천로 ,028893365
요셉의집,서울특별시 도봉구 시루봉로15라길 ,0234938001
(주)감사하는사람들노인복지센터,서울특별시 영등포구 도신로 ,02-848-3532
가족사랑단기보호센터,서울특별시 송파구 오금로36길 ,07048140450
목동실버복지문화센터,서울특별시 양천구 목동중앙로3길,0226433352
밝은내데이케어센터,서울특별시 양천구 신월로24길 ,0226024411
수유실버데이케어센터,서울특별시 강북구 노해로23길 ,02-993-4020
늘푸른한가족데이케어센터,서울특별시 양천구 오목로 ,02-2606-5215
미아실버데이케어센터,서울특별시 강북구 솔매로43길,029879955
21세기요양원 노인요양공동생활가정,서울특별시 영등포구 도신로 ,028352730
서울시니어스강남타워 데이케어센터,서울특별시 강남구 자곡로 ,02-2223-3340
인애데이케어센터,서울특별시 중구 퇴계로80길 ,02-2231-9191
우리사이 재가장기요양센터,서울특별시 관악구 신림로23길 ,028830142
상봉요양원요양센터,서울특별시 중랑구 용마산로 ,0222099776
봄날북한산요양원,서울특별시 강북구 4.19로 ,029915111
'(협)노인돌봄은평요양원,서울특별시 은평구 가좌로 ,07088089929
목동실버데이케어센터,서울특별시 양천구 목동중앙로3길,0226473356
금천노인종합복지관 병설 금천데이케어센터,서울특별시 금천구 시흥대로51길 ,070-7090-5420
